130	132	31	115
132	132	28	112
132	132	28	111
130	130	29	110
131	128	28	112
130	126	29	113
129	126	29	114
130	125	29	114
130	125	27	113
128	124	29	116
130	125	27	115
125	127	34	113
125	126	34	112
127	128	30	109
124	124	33	110
128	124	26	109
122	123	38	110
122	121	36	109
123	123	34	108
125	122	28	110
123	121	32	111
121	123	31	108
120	124	36	108
124	124	33	108
123	122	33	109
121	123	36	107
124	118	33	108
123	117	33	109
126	118	27	106
123	119	32	105
123	116	33	108
122	116	33	111
122	117	33	106
122	119	31	102
121	117	32	107
121	117	31	105
121	116	31	104
119	115	35	106
120	112	35	108
123	114	30	105
121	113	31	105
120	113	31	107
120	114	33	104
123	112	27	108
121	112	31	106
122	112	31	106
121	112	31	106
121	112	32	104
120	113	32	103
121	110	34	102
123	110	31	103
122	110	28	101
121	110	29	102
121	109	30	103
118	108	35	105
121	110	31	101
118	112	33	98
118	108	34	103
120	107	29	103
117	109	35	99
118	106	35	100
118	107	30	100
121	108	27	99
120	107	29	99
119	106	30	100
118	107	30	101
119	107	29	99
118	106	31	101
117	106	35	96
118	105	33	98
116	104	36	97
119	105	33	96
119	101	31	100
118	103	30	96
120	103	29	98
121	104	26	95
118	102	30	97
119	101	30	101
119	103	29	96
120	101	26	96
119	100	28	96
115	101	33	95
118	100	29	96
117	98	32	98
119	98	27	97
117	99	31	96
121	99	23	97
120	100	24	95
120	100	26	95
118	100	27	95
119	100	27	95
121	98	24	94
121	100	22	91
121	97	24	94
121	96	22	94
121	98	24	91
120	94	25	98
120	97	26	93
119	96	27	94
122	97	22	91
